CVR, # of Game Pieces Attempted,# of Game Pieces Scored,Percentage Scored,Climbed/Lifted off the ground?,Strategy Used ,"Rank Driver Skill (5 is perfect, no mistakes)",RPs Awarded - could be called Qualification Score,P-J NO W/T/L RP (11/19/20),RPs earned for what tasks (do not include W/T/L RPs),Win/Tie/Loss,"Rank Before Alliance Selection (out of how many teams, one # for the whole comp)","If applicable Rank @ end of Competition (out of how many teams, one # for the whole comp)",Notes,Analytics,
Quals 1 (4),6,3,0.5,,Offense,3,,0,,L,8,quarterfinals,,L,6
Quals 2 (13),4,0,0,,Offense,2,,0,,W,,,,W,6
Quals 3 (17),0,0,#DIV/0!,,,,,0,,W,,,no video,,
Quals 4 (30),,,#DIV/0!,,,,,0,,W,,,no video,,
Quals 5 (34),0,0,#DIV/0!,,,,,0,,W,,,no video,,
Quals 6 (45),0,0,#DIV/0!,,,,,0,,L,,,no video,,
Quals 7 (57),0,0,#DIV/0!,,,,,0,,L,,,no video,,
Quals 8 (65),0,0,#DIV/0!,,,,,0,,W,,,no video,,
Quals 9 (73),0,0,#DIV/0!,,,,,0,,W,,,no video,,
Quals 10 (78),0,0,#DIV/0!,,,,,0,,L,,,no video,,
Quarters 1,6,6,1,,Offense,4,,0,,L,,,,,
Quarters 6,6,3,0.5,,,,,0,,L,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SVR,,,,,,,,,,,6,semifinals,,,
Quals 1,0,0,#DIV/0!,,,,,0,,,,,,L,3
Quals 2(10),11,9,0.8181818182,N,Offense,1,,0,,L,,,,W,1
Quals 3,5,3,0.6,,,,,0,,,,,,,
Quals 4,5,3,0.6,,,,,0,,,,,,,
Quals 5,5,3,0.6,,,,,0,,,,,,,
Quals 6,5,3,0.6,,,,,0,,,,,,,
Quals 7 (65),8,8,1,N,Offense,5,,0,,L,,,,,
Quals 8,5,3,0.6,,,,,0,,,,,,,
Quals 9,5,3,0.6,,,,,0,,,,,,,
Quals 10,5,3,0.6,,,,,0,,,,,,,
Semi 4,6,0,0,N,Offense,1,,,,L,,,,,
Semi 5,12,12,1,N,Offense,3,,,,W,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Chezy Champs,,,,,,,,,,,11,quarterfinals,,,
Quals 1 (5),0,0,#DIV/0!,,,,,0,,W,no videos,,,L,5
Quals 2 (7),0,0,#DIV/0!,,,,,0,,W,no videos,,,W,8
Quals 3 (15),0,0,#DIV/0!,,,,,0,,W,no videos,,,,
Quals 4 (17),0,0,#DIV/0!,,,,,0,,W,no videos,,,,
Quals 5 (24),0,0,#DIV/0!,,,,,0,,L,no videos,,,,
Quals 6 (27),0,0,#DIV/0!,,,,,0,,W,no videos,,,,
Quals 7 (34),0,0,#DIV/0!,,,,,0,,W,no videos,,,,
Quals 8 (37),0,0,#DIV/0!,,,,,0,,L,no videos,,,,
Quals 9 (46),0,0,#DIV/0!,,,,,0,,W,no videos,,,,
Quals 10 (49),5,5,1,,,,,0,,L,,,,,
Quals 11 (53),5,4,0.8,,,2,,0,,W,,,,,
,,,,,,,,0,,,,,,,
Quarters 3 M1,6,5,0.8333333333,,,3,,0,,L,,,,,
Quarters 3 M2,6,3,0.5,,,2,,0,,L,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CGs,,,,,,,,,,,18,semifinals,,,
Semis 2,,,,,,,,,,L,,,Bad video (aimed only at 971)...,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
