CVR, # of Game Pieces Attempted,# of Game Pieces Scored,Percentage Scored,Climbed/Lifted off the ground?,Strategy Used ,"Rank Driver Skill (5 is perfect, no mistakes)",RPs Awarded - could be called Qualification Score,P-J NO W/T/L RP (11/19/20),RPs earned for what tasks (do not include W/T/L RPs),Win/Tie/Loss,"Rank Before Alliance Selection (out of how many teams, one # for the whole comp)","If applicable Rank @ end of Competition (out of how many teams, one # for the whole comp)",Notes,Analytics,
Quals 1 (4),,,#DIV/0!,N,Combo - mostly offense,4,1,1,Defenses Breached,L,27,,,L,5
Quals 2 (14),0,1,#DIV/0!,N,Offense,2,0,0,,W,,,,W,4
Quals 3 (21),3,2,0.6666666667,N,Offense,3,1,1,Defenses Breached,W,,,,,
Quals 4 (29),3,0,0,N,Offense,3,0,0,,L,,,,,
Quals 5 (38),2,2,1,N,Offense,4,0,0,,L,,,,,
Quals 6 (49),2,2,1,N,Offense,4,1,1,Defenses Breached,T,,,,,
Quals 7 (56),3,1,0.3333333333,N,Offense,3,1,1,Defenses Breached,W,,,,,
Quals 8 (64),1,0,0,N,Offense,2,1,1,Defenses Breached,W,,,,,
Quals 9 (69),1,1,1,N,Offense,3,1,1,Defenses Breached,L,,,,,
Quals 10 (74),1,1,1,N,Offense,3,0,0,,L,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SVR,,,,,,,,,,,47/64,,,L,6
Quals 1 (6),3,2,0.6666666667,N,Offense,4,0,0,,L,,,,W,2
Quals 2 (21),2,0,0,N,Offense,3,1,1,Defenses Breached,W,,,,,
Quals 3 (32),1,0,0,N,Offense,4,1,1,Defenses Breached,W,,,,,
Quals 4 (39),1,0,0,N,Offense,3,1,1,Defenses Breached,L,,,,,
Quals 5 (45),2,1,0.5,N,Offense,1,1,1,Defenses Breached,L,,,,,
Quals 6 (54),1,0,0,,Offense,1,1,1,Defenses Breached,L,,,,,
Quals 7 (65),,,#DIV/0!,,,,,,,L,only last 30 seconds,,,,
Quals 8 (85),,,#DIV/0!,,,,,,,L,only last 30 seconds,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hopper Division ,,,,,,,,,,,69/75,,,L,8
Quals 1 (5),0,0,#DIV/0!,N,Defense,4,3,3,Defenses Breached,W,,,,W,2
Quals 2 (19),2,0,0,N,Offense,2,1,1,Defenses Breached,L,,,,,
Quals 3 (37),2,0,0,N,Offense,3,1,1,Defenses Breached,L,,,,,
Quals 4 (46),No Video,,#VALUE!,,,,1,1,Defenses Breached,L,,,,,
Quals 5 (57),4,2,0.5,N,Offense,2,1,1,Defenses Breached,L,,,,,
Quals 6 (64),3,0,0,N,Offense,1,1,1,Defenses Breached,L,,,,,
Quals 7 (83),no video,,#VALUE!,,,,1,1,Defenses Breached,L,,,,,
Quals 8 (92),0,0,#DIV/0!,N,"""supplier""",3,4,4,"Defense breached, tower captured",W,,,,,
Quals 9 (108),0,0,#DIV/0!,N,Defense,2,1,1,Defenses Breached,L,,,,,
Quals 10 (116),no video,no video,#VALUE!,N,?,n/a,1,1,Defenses Breached,L,no video,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CGs,,,,,,,,,,,18,quarterfinal,,L,4
Quals 1 (1),,,#DIV/0!,N,,,0,0,,L,,,,W,4
Quals 2 (10),,,#DIV/0!,N,,,0,0,,L,,,,,
Quals 3 (13),,,#DIV/0!,N,,,0,0,,L,,,,,
Quals 4 (24),,,#DIV/0!,N,,,1,1,Tower Captured,W,,,,,
Quals 5 (28),,,#DIV/0!,N,,,1,1,Defenses Breached,W,,,,,
Quals 6 (35),,,#DIV/0!,N,,,0,0,,L,,,,,
Quals 7 (41),,,#DIV/0!,N,,,0,0,,W,,,,,
Quals 8 (48),,,#DIV/0!,N,,,1,1,Defenses Breached,W,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
