Utah Regional, # of Game Pieces Attempted,# of Game Pieces Scored,Percentage Scored,Climbed/Lifted off the ground?,Strategy Used ,"Rank Driver Skill (5 is perfect, no mistakes)",RPs Awarded - could be called Qualification Score,P-J NO W/T/L RP (11/19/20),RPs earned for what tasks (do not include W/T/L RPs),Win/Tie/Loss,"Rank Before Alliance Selection (out of how many teams, one # for the whole comp)","If applicable Rank @ end of Competition (out of how many teams, one # for the whole comp)",Notes,Analytics,
Quals 1,7,6,0.857,N,Offense,4,2,0,,W,8/52,2nd in the comp,,L,1
Quals 2,6,4,0.666,Y,Offense,4,2,0,,W,,,,W,12
Quals 3,6,6,1,Y,Offense,4,3,1,auto,W,15,,,,
Quals 4,6,5,0.833,Y,Offense,4,2,0,,W,,,,,
Quals 5,6,5,0.833,Y,Offense,5,4,2,,W,4,,,,
Quals 6,4,3,0.75,Y,Offense,5,2,0,,W,4,,,,
Quals 7,4,4,1,Y,Offense,4,3,1,,W,4,,,,
Quals 8,8,7,0.875,Y,Offense,5,3,1,auto,W,4,,,,
Quals 9,6,5,0.833,Y,Offense,4,1,1,auto,L,4/52,,,,
Quals 10,,,#DIV/0!,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
Q1,4,4,1,Y,Offense,4,,,,W,,,,,
Q2,4,4,1,Y,Combo - mostly defense,4,,,,W,,,,,
SF1,7,4,0.571,N,Offense,4,,,,W,,,,,
SF2,6,5,0.833,N,Combo - mostly defense,4,,,,W,,,,,
F1,7,4,0.571,N,Offense,4,,,L,,,,,,
F2,5,5,1,N,Offense,5,,,L,,,,,,
,,,,,,,,,,,,,,,
SVR,,,,,,,,,,,7/60,quaterfinals,,L,5
Quals 1 (no video),,,#DIV/0!,,,,1,1,Auto Run,L,,,,W,6
Quals 2,7,7,1,N,Offense,5,3,1,Auto Run,W,,,,,
Quals 3 (no video),,,#DIV/0!,Y,Offense,,3,1,Auto Run,W,,,,,
Quals 4,7,7,1,Y,Offense,5,3,1,Auto Run,W,,,,,
Quals 5,7,6,0.8571428571,N,Offense,4,1,1,Auto Run,L,,,,,
Quals 6,10,8,0.8,N,Offense,5,3,1,Auto Run,W,,,,,
Quals 7,8,6,0.75,N,Offense,4,1,1,Auto Run,L,,,,,
Quals 8,5,5,1,N,Offense,4,3,1,Auto Run,W,,,,,
Quals 9,7,6,0.8571428571,N,Offense,4,3,1,Auto Run,W,,,,,
Quarters 1,6,6,1,N,Offense,3,0,0,,L,,,,,
Quarters 2,5,4,0.8,N,Offense,2,0,0,,L,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CGs,,,,,,,,,,3/36,quaterfinals,,,L,3
Quals 1 (5),7,6,0.8571428571,N,Offense,4,3,1,Auto Run,W,3rd,,,W,6
Quals 2 (9),7,5,0.7142857143,N,Offense,3,0,0,,L,3rd,,,,
Quals 3 (15),6,4,0.6666666667,Y,Combo - mostly offense,4,2,0,,W,3rd,,,,
Quals 4 (24),5,4,0.8,Y,Offense,4,3,1,Auto Run,W,3rd,,,,
Quals 5 (28),5,4,0.8,Y,Offense,3,3,1,Auto Run,W,3rd,,,,
Quals 6 (32),2,2,1,N,Offense,2,3,1,Auto Run,W,3rd,,,,
Quals 7 (40),5,5,1,Y,Offense,5,3,,Auto Run,W,3rd,,,,
Quarter 4 M1,0,0,#DIV/0!,,,,,,,,,,,,
Quarter 4 M2,8,6,0.75,N,Offense,4,,,,L,,,,,
Quarter 4 M3,1,1,1,N,,3,,,,L,,,,,
