Arizona North Regional, # of Game Pieces Attempted,# of Game Pieces Scored,Percentage Scored,Climbed/Lifted off the ground?,Strategy Used ,"Rank Driver Skill (5 is perfect, no mistakes)",RPs Awarded - could be called Qualification Score,P-J NO W/T/L RP (11/19/20),RPs earned for what tasks (do not include W/T/L RPs),Win/Tie/Loss,"Rank Before Alliance Selection (out of how many teams, one # for the whole comp)","If applicable Rank @ end of Competition (out of how many teams, one # for the whole comp)",Notes,Analytics,
Quals 1,4,3,0.75,N,Offense,4,2,0,Rocket (P: no),W,18/53,,,L,4
Quals 2,7,4,0.5714285714,N,Offense,3,0,0,,L,,,,W,6
Quals 3,5,2,0.4,N,Offense,2,2,0,,W,,,major issues with getting a game piece stuck under the bumper,,
Quals 4,5,3,0.6,N,N/A,N/A,3,1,climb,W,,,Not present during this round,,
Quals 5,5,2,0.4,N,Offense,3,0,0,,L,,,issues with getting a game piece stuck under the bumper,,
Quals 6,4,2,0.5,N,Combo - mostly offense,3,0,0,,L,,,,,
Quals 7,1,1,1,N,Defense,4,2,0,,W,,,,,
Quals 8,1,1,1,N,Combo - mostly defense,2,2,0,,W,,,Intake or claw seemed to be not work until the last 30 seconds,,
Quals 9,4,4,1,N,Combo - mostly offense,3,3,1,Rocket,W,,,,,
Quals 10,2,2,1,N,Defense,4,1,1,Climb,L,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SVR,,,,,,,,,,,37/59,,,,
Quals 1,7,6,0.8571428571,N,Offense,4,2,,,W,,,,L,4
Quals 2,8,7,0.875,N,Offense,4,0,0,,L,,,"Edit date: 10/5/20; collision with alliance robot twice, started auton from the second level",W,6
Quals 3,7,6,0.8571428571,N,Offense,4,2,0,,W,,,,,
Quals 4,6,6,1,N,Offense,4,0,0,,L,,,,,
Quals 5,4,4,1,N,Offense,3,2,0,,W,,,Claw (preloaded w/ hatch) didn't work for the first ~half,,
Quals 6,6,4,0.6666666667,N,Offense,3,3,1,Climb,W,,,,,
Quals 7,5,4,0.8,N,Offense,4,3,1,Climb,W,,,,,
Quals 8,8,6,0.75,N,Offense,3,0,0,,L,,,,,
Quals 9,6,5,0.8333333333,N,Offense,4,2,0,,W,,,,,
Quals 10,6,4,0.6666666667,N,Offense,4,0,0,,L,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CGs,,,,,,,,,,,17/36,,,,
Quals 1 (4),0,0,#DIV/0!,,,,2,0,,W,,,,L,7
Quals 2 (7),0,0,#DIV/0!,,,,3,1,Climb,W,,,,W,5
Quals 3 (14),0,0,#DIV/0!,,,,2,0,,W,,,,,
Quals 4 (19),0,0,#DIV/0!,,,,0,0,,L,,,,,
Quals 5 (26),0,0,#DIV/0!,,,,1,1,Climb,L,,,,,
Quals 6 (35),0,0,#DIV/0!,,,,0,0,,L,,,,,
Quals 7 (41),0,0,#DIV/0!,,,,0,0,,L,,,,,
Quals 8 (45),0,0,#DIV/0!,,,,2,0,,W,,,,,
Quals 9 (50),0,0,#DIV/0!,,,,2,0,,W,,,,,
Quals 10 (58),0,0,#DIV/0!,,,,0,0,,L,,,,,
,,,,,,,,,,,,,,,
"Playoffs, Semis, Finals (if applicable)",,,,,,,,,,,,,,,
Quarter 1 Match 1,0,0,#DIV/0!,,,,,,,L,,,,,
Quarter 1 Match 2,0,0,#DIV/0!,,,,,,,L,,,,,
